Bolivia (Plurinational State of),,,,,,,,,,,12000.0,17000.0,0.0,6000.0,53000.0,162000.0,99000.0,133000.0,105000.0,139000.0,229000.0,136000.0,118000.0,110000.0,124000.0,132000.0,117000.0,143000.0,13000.0,0.0,3000.0
Bosnia and Herzegovina,,,,,,,,,,,,,,50000.0,19000.0,73000.0,153000.0,43000.0,79000.0,108000.0,18000.0,20000.0,32000.0,5000.0,6000.0,12000.0,7000.0,9000.0,19000.0,255000.0,47000.0
Botswana,29000.0,35000.0,22000.0,6000.0,20000.0,6000.0,112000.0,94000.0,78000.0,69000.0,162000.0,27000.0,24000.0,76000.0,0.0,0.0,0.0,57000.0,39000.0,46000.0,28000.0,85000.0,16000.0,9000.0,7000.0,10000.0,12000.0,7000.0,5000.0,0.0,8000.0
Brazil,10424000.0,9657000.0,9737000.0,10705000.0,10481000.0,9399000.0,6505000.0,6293000.0,6496000.0,5339000.0,6512000.0,6455000.0,5553000.0,5693000.0,5471000.0,5810000.0,5776000.0,6708000.0,6531000.0,8550000.0,8595000.0,6893000.0,3972000.0,4030000.0,3488000.0,2954000.0,2656000.0,1992000.0,1839000.0,1428000.0,1132000.0
Brunei Darussalam,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,70000.0,80000.0,60000.0,0.0,0.0,0.0,0.0,6000.0,29000.0,106000.0,106000.0,106000.0,106000.0,14000.0,1000.0,0.0,4000.0,12000.0,16000.0,7000.0,13000.0,23000.0
Bulgaria,,,,345000.0,733000.0,93000.0,140000.0,71000.0,122000.0,130000.0,140000.0,2039000.0,98000.0,38000.0,62000.0,66000.0,80000.0,270000.0,34000.0,107000.0,129000.0,211000.0,198000.0,193000.0,778000.0,2625000.0,3452000.0,4474000.0,2770000.0,646000.0,482000.0
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,2000.0,10000.0,5000.0,0.0,40000.0,0.0,0.0,6000.0,7000.0,,44000.0,1000.0,1000.0,0.0,6000.0,7000.0
Burundi,6697000.0,8396000.0,9141000.0,8853000.0,10857000.0,9635000.0,5441000.0,9046000.0,1285000.0,1183000.0,3009000.0,6811000.0,584000.0,566000.0,1221000.0,829000.0,2745000.0,6780000.0,7596000.0,10023000.0,10122000.0,14436000.0,14384000.0,13472000.0,14059000.0,13844000.0,26620000.0,26058000.0,22029000.0,21554000.0,24124000.0
Cabo Verde,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,,,,,,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,6000.0,0.0,0.0,0.0,0.0,0.0,3000.0,1000.0,0.0,0.0,,1000.0,2000.0,21000.0,10000.0,4000.0,1000.0,2000.0
Cameroon,6657000.0,107000.0,0.0,159000.0,1000.0,435000.0,130000.0,0.0,0.0,1000.0,17000.0,0.0,0.0,2000.0,0.0,212000.0,51000.0,40000.0,15000.0,9000.0,32000.0,1000.0,3000.0,24000.0,38000.0,45000.0,13000.0,20000.0,180000.0,9000.0,25000.0
Canada,1356000.0,1919000.0,2553000.0,2514000.0,2745000.0,3160000.0,3933000.0,4028000.0,4772000.0,4360000.0,5663000.0,7063000.0,7251000.0,9751000.0,14544000.0,20522000.0,24383000.0,34227000.0,34124000.0,36994000.0,35663000.0,35010000.0,32196000.0,27475000.0,30910000.0,35998000.0,45208000.0,41376000.0,44218000.0,44065000.0,31119000.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,35000.0,200000.0,200000.0,57000.0,63000.0,63000.0,129000.0,28000.0,28000.0,28000.0,28000.0,28000.0,21000.0,31000.0,18000.0,2000.0,9000.0,9000.0,,,0.0
